Item,Gender,Measure,Gamma,Delta,Probability
goes to the movies,female,existence,0.8653558711521327,3.1940964749082923,0.007599999999999996
goes to the movies,female,existence,0.8600067014340311,3.1940964749082923,0.00019999999999999985
goes to the movies,female,existence,0.8600067014340311,2.2080594091676176,0.0025999999999999986
goes to the movies,female,existence,0.8502718694508076,2.2080594091676176,0.009000000000000001
goes to the movies,female,existence,0.800727766007185,2.2080594091676176,0.0024
goes to the movies,female,existence,0.8711320555303246,2.2080594091676176,0.0025999999999999986
goes to the movies,female,existence,0.8676349269226193,2.2080594091676176,0.0011999999999999988
goes to the movies,female,existence,0.8577865606639534,2.2080594091676176,0.0009999999999999996
goes to the movies,female,existence,0.8205343463923782,2.2080594091676176,0.0005999999999999994
goes to the movies,female,existence,0.8845356171950698,2.2080594091676176,0.0028000000000000013
goes to the movies,female,existence,0.8845356171950698,4.396225220989436,0.0028000000000000013
goes to the movies,female,existence,0.8845356171950698,3.411385358776897,0.006599999999999997
goes to the movies,female,existence,0.8845356171950698,3.25162309454754,0.011000000000000003
goes to the movies,female,existence,0.8827920246403664,3.25162309454754,0.0020000000000000013
goes to the movies,female,existence,0.8508606334216893,3.25162309454754,0.002999999999999998
goes to the movies,female,existence,0.8964892234653234,3.25162309454754,0.004600000000000001
goes to the movies,female,existence,0.899533111602068,3.25162309454754,0.006399999999999995
goes to the movies,female,existence,0.8428758597001433,3.25162309454754,0.0025999999999999986
goes to the movies,female,existence,0.8770267274230719,3.25162309454754,0.006599999999999997
goes to the movies,female,existence,0.8203028824646026,3.25162309454754,0.004000000000000003
goes to the movies,female,existence,0.8390126572921872,3.25162309454754,0.0011999999999999988
goes to the movies,female,existence,0.8390126572921872,2.874664729461074,0.006599999999999997
goes to the movies,female,existence,0.8448184817098081,2.874664729461074,0.00019999999999999985
goes to the movies,female,existence,0.8448184817098081,2.7945765061303973,0.0017999999999999993
goes to the movies,female,existence,0.8398421935271472,2.7945765061303973,0.0008
goes to the movies,female,existence,0.8660570101346821,2.7945765061303973,0.005199999999999997
goes to the movies,female,existence,0.8660570101346821,2.1053216187283397,0.0014000000000000006
goes to the movies,female,existence,0.8411599271930754,2.1053216187283397,0.002999999999999998
goes to the movies,female,existence,0.8321649851277471,2.1053216187283397,0.0035999999999999986
goes to the movies,female,existence,0.8463799501769245,2.1053216187283397,0.0024
goes to the movies,female,existence,0.8238011610228568,2.1053216187283397,0.0008
goes to the movies,female,existence,0.8119626033585519,2.1053216187283397,0.0016
goes to the movies,female,existence,0.8067307691089809,2.1053216187283397,0.0011999999999999988
goes to the movies,female,existence,0.8067307691089809,2.784504066221416,0.0024
goes to the movies,female,existence,0.8067307691089809,2.8480638400651515,0.0009999999999999996
goes to the movies,female,existence,0.8492636638693511,2.8480638400651515,0.008599999999999997
goes to the movies,female,existence,0.8379192429129034,2.8480638400651515,0.0017999999999999993
goes to the movies,female,existence,0.8829935090616345,2.8480638400651515,0.004600000000000001
